nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
Armani Beauty,Acqua Di Giò Profondo Parfum,Rp 2.720.000,"
        (18)
      ","
        2 sizes
      "
Armani Beauty,Gardénia Antigua Eau De Toilette,Rp 3.900.000,"
        (1)
      ",
Marc Jacobs Fragrances,Daisy Pop Eau De Toilette (Limited Edition),Rp 1.520.000,"
        (207)
      ",
Bon Parfumeur,"401 Cedar, Candied Plum, Vanilla EDP",Rp 975.000,"
        (15)
      ","
        3 sizes
      "
Chloé,Atelier Des Fleurs Lavanda Eau de Parfum,Rp 2.430.000,"
        (10)
      ","
        2 sizes
      "
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Bon Parfumeur,"901 Nutmeg, Almond, Patchouli EDP",Rp 975.000,"
        (1)
      ","
        3 sizes
      "
Versace,Yellow Diamond Pour Femme Eau de Toilette,Rp 345.000,"
        (11)
      ",
Bon Parfumeur,"501 Praline, Licorice, Patchouli EDP",Rp 975.000,"
        (13)
      ","
        3 sizes
      "
Carolina Herrera,212 VIP Rose Elixir Eau De Parfume,Rp 2.170.000,"
        (9)
      ",
Chloé,Atelier Des Fleurs Vanilla Planifolia Eau De Parfum,Rp 3.800.000,"
        (12)
      ","
        2 sizes
      "
Dolce&Gabbana,Q by Dolce&Gabbana Eau de Parfum Intense,Rp 2.950.000,"
        (5)
      ","
        3 sizes
      "
Armani Beauty,Prive Magenta Tanzanite Eau De Parfum,Rp 5.550.000,,
Michael Kors,Pour Homme Gift Set,Rp 2.246.200,,
DIOR,Miss Dior Parfum Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,Rp 1.800.000,"
        (406)
      ",
Narciso Rodriguez,For Her Pure Musc Christmas Giftset 2024,Rp 2.980.000,,
Armani Beauty,Prive The Yulong Nacre Eau de Toilette,Rp 3.900.000,,
