nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
L'Atelier Parfum,Dose Of Rose Eau De Parfum,1415700,6,2
Armani Beauty,Sì Eau De Parfum Intense Spring Set,2450000,1,1
L'Atelier Parfum,Tobacco Volute Eau De Parfum,1415700,9,2
L'Atelier Parfum,Hot Splash Eau De Parfum,2290000,5,3
Bon Parfumeur,"301 Amber, Cardamom, Sandalwood EDP",975000,0,3
Kayali,Oudgasm Vanilla Oud | 16 Eau de Parfum Intense ,690000,28,1
MCM,Compact Mini Set 4 x 7ML EDP,1150000,1,1
Bon Parfumeur,"303 Chilly Pepper, Pink Berry, Benzoin EDP",1400000,0,2
HERMÈS,Tutti Twilly d'Hermes Eau De Parfum,1385000,184,3
Bon Parfumeur,"702 Incense, Lavender, Cashmere wood EDP",975000,0,3
Chloé,Atelier Des Fleurs Tuberosa 1974 Eau De Parfum,3800000,2,1
MCM,Ultra Eau de Parfum Necklace Set,1280000,0,1
Armani Beauty,Acqua Di Giò Profondo Parfum,2720000,18,2
Armani Beauty,Gardénia Antigua Eau De Toilette,3900000,1,1
Marc Jacobs Fragrances,Daisy Pop Eau De Toilette (Limited Edition),1520000,207,1
Bon Parfumeur,"401 Cedar, Candied Plum, Vanilla EDP",975000,15,3
Chloé,Atelier Des Fleurs Lavanda Eau de Parfum,2430000,10,2
MCM,MCM Collection Jolly Rabbit,2680000,0,1
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,2250000,0,1
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,2850000,0,1
Armani Beauty,Si Eau De Parfum,2990000,0,1
Armani Beauty,Acqua Di Giò Parfum,1700000,0,1
Armani Beauty,Stronger With You Parfum,2485000,0,1
Armani Beauty,My Way Le Parfum,2255000,0,1
Ferragamo,FIAMMA,1380000,0,1
Bon Parfumeur,"901 Nutmeg, Almond, Patchouli EDP",975000,1,3
Versace,Yellow Diamond Pour Femme Eau de Toilette,345000,11,1
Bon Parfumeur,"501 Praline, Licorice, Patchouli EDP",975000,13,3
Carolina Herrera,212 VIP Rose Elixir Eau De Parfume,2170000,9,1
Chloé,Atelier Des Fleurs Vanilla Planifolia Eau De Parfum,3800000,12,2
Dolce&Gabbana,Q by Dolce&Gabbana Eau de Parfum Intense,2950000,5,3
Armani Beauty,Prive Magenta Tanzanite Eau De Parfum,5550000,0,1
Michael Kors,Pour Homme Gift Set,2246200,0,1
DIOR,Miss Dior Parfum Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,1800000,406,1
Narciso Rodriguez,For Her Pure Musc Christmas Giftset 2024,2980000,0,1
Armani Beauty,Prive The Yulong Nacre Eau de Toilette,3900000,0,1
Armani Beauty,Pivoine Suzhou Eau De Toilette,3900000,1,1
Kayali,Fleur Majesty Rose Royale | 31 Eau De Parfum,650000,689,3
Ferragamo,Signorina Unica Eau De Parfum,2350000,0,3
Armani Beauty,Rouge Malachite Eau De Parfum,5550000,0,1
Armani Beauty,Pivoine Suzhou Soie de Nacre Eau De Toilette,3900000,1,1
Tom Ford Beauty,Soleil Neige Eau De Parfum,3550000,925,2
Jean Paul Gaultier,La Belle Eau De Parfum,2050000,3,1
Kayali,Marrakesh In A Bottle Orange Blossom | 24 Eau De Parfum,2115000,257,1
Kate Spade,Travel Spray Set Mini (Holiday Limited Edition),800000,5,1
Rabanne,Phantom Eau De Parfum Intense,2040000,119,2
Marc Jacobs Fragrances,Daisy Eau De Toilette Spring Gift Set (Limited Edition),2180000,6,1
Bon Parfumeur,"102 Tea, Cardamom, Mimosa EDP",975000,1,3
Jo Malone London,English Pear & Sweet Pea Cologne,1450000,407,3
Coach,New York Green Eau De Toilette,840000,32,3
Issey Miyake,L'Eau d'Issey pour Homme Solar Lavender,2200000,0,2
HERMÈS,H24 Herbes Vives Eau De Parfum,2595000,174,2
Jo Malone London,Hinoki & Cedarwood Cologne Intense,2815000,202,3
Marc Jacobs Fragrances,Daisy Wild Eau De Parfum,2280000,666,4
Tiffany & Co.,Rose Gold Intense Eau de Parfum,2180000,10,2
Bon Parfumeur,"402 Vanilla, Caramel, Sandalwood EDP",975000,1,3
Chloé,Atelier Des Fleurs Néroli Eau de Parfum,3800000,8,2
Armani Beauty,Bleu Turquoise Eau De Parfum,5550000,0,1
Moncler,Pour Femme Eau De Parfum,3170000,3,2
Lancôme,Idôle L'Eau De Toilette,1820000,8,1
Armani Beauty,Rose D'arabie Eau De Parfum Intense,5550000,1,1
MCM,MCM Collection Jolly Rabbit,2680000,0,1
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,2250000,0,1
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,2850000,0,1
Armani Beauty,Si Eau De Parfum,2990000,0,1
Armani Beauty,Acqua Di Giò Parfum,1700000,0,1
Armani Beauty,Stronger With You Parfum,2485000,0,1
Armani Beauty,My Way Le Parfum,2255000,0,1
Ferragamo,FIAMMA,1380000,0,1
Carolina Herrera,Very Good Girl Elixir,2600000,243,4
Kayali,Fleur Majesty Rose Royale | 31 Eau De Parfum,650000,689,3
Rabanne,Olympea Flora Eau De Parfum Intense,2200000,2,1
Chloé,Atelier des Fleurs Orchidée de Minuit Eau De Parfum,2500000,0,2
Chloé,Atelier Des Fleurs Eau De Parfum Spring Discovery Set,3500000,0,1
Tom Ford Beauty,Soleil Neige Eau De Parfum,3550000,925,2
Jean Paul Gaultier,La Belle Eau De Parfum,2050000,3,1
HUGO BOSS,Boss Bottled Absolu,2500000,4,1
Narciso Rodriguez,For Her Eau De Parfum Intense,1750000,0,3
Jimmy Choo,I Want Choo Le Parfum,2825000,15,1
Rabanne,1 Million Eau De Toilette Gift Set (Holiday Limited Edition),1950000,5,1
